Firm,Line Item,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7
FirmF,Revenues,21461268000.0,11759000000.0,7000132000.0,4046025000.0,3198356000.0,2013496000.0,413256000.0,204242000.0
FirmF,Cost of Goods Sold (COGS),17419247000.0,9536000000.0,5400875000.0,3122522000.0,2316685000.0,1557234000.0,383189000.0,142647000.0
FirmF,Gross Profit,4042021000.0,2223000000.0,1599257000.0,923503000.0,881671000.0,456262000.0,30067000.0,61595000.0
FirmF,Operating Expenses,4430000000.0,3855000000.0,2266597000.0,1640132000.0,1068360000.0,517545000.0,424350000.0,313083000.0
FirmF,Depreciation and Amortization,1901000000.0,1636000000.0,947099000.0,422590000.0,231931000.0,106083000.0,28825000.0,16919000.0
FirmF,Total Operating Expenses,,,,,,,,
FirmF,Operating Income,-388000000.0,-1632000000.0,-667340000.0,-716629000.0,-186689000.0,-61283000.0,-394283000.0,-251488000.0
FirmF,Interest Income,24000000.0,19000000.0,8530000.0,1508000.0,1126000.0,189000.0,288000.0,255000.0
FirmF,Interest Expense,663000000.0,471000000.0,198810000.0,118851000.0,100886000.0,32934000.0,254000.0,43000.0
FirmF,Other Non-Operating Items,,,,,,,,
FirmF,Pre-Tax Income,-1005000000.0,-2209000000.0,-746348000.0,-875624000.0,-284636000.0,-71426000.0,-396077000.0,-253922000.0
FirmF,Income Tax Expense,58000000.0,32000000.0,26698000.0,13039000.0,9404000.0,2588000.0,136000.0,489000.0
FirmF,Net Income,-976000000.0,-1962000000.0,-674914000.0,-888663000.0,-294040000.0,-74014000.0,-396213000.0,-254411000.0
FirmG,Cash and Cash Equivalents,4002000000.0,1766000000.0,596000000.0,496654000.0,1151587000.0,732786000.0,667876000.0,665361000.0
FirmG,Accounts Receivable,1265000000.0,826000000.0,505000000.0,473637000.0,426357000.0,454252000.0,336143000.0,348770000.0
FirmG,Inventory,796000000.0,794000000.0,418000000.0,482893000.0,387765000.0,419686000.0,340297000.0,345525000.0
FirmG,Other Current Assets,172000000.0,236000000.0,186000000.0,133000000.0,138779000.0,173437000.0,99342000.0,42092000.0
FirmG,Total Current Assets,9255000000.0,8536000000.0,6053000000.0,5713297000.0,5624711000.0,4775258000.0,3905358000.0,3226950000.0
FirmG,Property Plant & Equipment,,,,,,,,
FirmG,Intangible Assets,52000000.0,104000000.0,166000000.0,221714000.0,296012000.0,312332000.0,326136000.0,243171000.0
FirmG,Other Non-Current Assets,319000000.0,62000000.0,67000000.0,90896000.0,104252000.0,93924000.0,102491000.0,22602000.0
FirmG,Total Assets,11241000000.0,9841000000.0,7370000000.0,7201368000.0,7250894000.0,6412245000.0,5552928000.0,4495246000.0
FirmG,Accounts Payable,596000000.0,485000000.0,296000000.0,293223000.0,324391000.0,356428000.0,335072000.0,286138000.0
FirmG,Short-Term Debt,15000000.0,827000000.0,1413000000.0,0.0,0.0,0.0,0.0,0.0
FirmG,Other Current Liabilities,456000000.0,387000000.0,318000000.0,307262000.0,345619000.0,343017000.0,317296000.0,403104000.0
FirmG,Total Current Liabilities,1153000000.0,1819000000.0,2438000000.0,896030000.0,945496000.0,976223000.0,929958000.0,942682000.0
FirmG,Long-Term Debt,1985000000.0,1989000000.0,10000000.0,1398000000.0,1388458000.0,18998000.0,21439000.0,23389000.0
FirmG,Other Non-Current Liabilities,590000000.0,157000000.0,108000000.0,489356000.0,130390000.0,160219000.0,122149000.0,138584000.0
FirmG,Total Liabilities,3770000000.0,4079000000.0,2901000000.0,2783386000.0,2794496000.0,1584542000.0,1407204000.0,1313784000.0
FirmG,Total Equity,7471000000.0,5762000000.0,4469000000.0,4417982000.0,4456398000.0,4827703000.0,4145724000.0,3181462000.0
FirmG,Total Liabilities and Equity,11241000000.0,9841000000.0,7370000000.0,7201368000.0,7250894000.0,6412245000.0,5552928000.0,4495246000.0
FirmG,Revenues,9714000000.0,6910000000.0,5010000000.0,4681507000.0,4130162000.0,4280159000.0,3997930000.0,3543309000.0
FirmG,Cost of Goods Sold (COGS),3892000000.0,2847000000.0,2199000000.0,2082030000.0,1862399000.0,2053816000.0,1941413000.0,2134219000.0
FirmG,Gross Profit,5822000000.0,4063000000.0,2811000000.0,2599477000.0,2267763000.0,2226343000.0,2056517000.0,1409090000.0
FirmG,Operating Expenses,2612000000.0,2126000000.0,1933000000.0,1840488000.0,1771536000.0,1578104000.0,1408218000.0,1153343000.0
FirmG,Depreciation and Amortization,199000000.0,187000000.0,197000000.0,220125000.0,239148000.0,226235000.0,204205000.0,186989000.0
FirmG,Total Operating Expenses,,,,,,,,
FirmG,Operating Income,3210000000.0,1934000000.0,747000000.0,758989000.0,496227000.0,648239000.0,648299000.0,255747000.0
FirmG,Interest Income,69000000.0,54000000.0,39000000.0,28090000.0,17119000.0,19908000.0,19149000.0,19057000.0
FirmG,Interest Expense,61000000.0,58000000.0,47000000.0,46133000.0,10443000.0,3294000.0,3089000.0,3127000.0
FirmG,Other Non-Operating Items,,,,,,,,
FirmG,Pre-Tax Income,3196000000.0,1905000000.0,743000000.0,754836000.0,510254000.0,662039000.0,663396000.0,271169000.0
FirmG,Income Tax Expense,149000000.0,239000000.0,129000000.0,124249000.0,70264000.0,99503000.0,82306000.0,18023000.0
FirmG,Net Income,3047000000.0,1666000000.0,614000000.0,630587000.0,439990000.0,562536000.0,581090000.0,253146000.0
FirmH,Cash and Cash Equivalents,278793000000.0,431304000000.0,389635000000.0,360505000000.0,512308000000.0,355822000000.0,175537000000.0,144881000000.0
FirmH,Accounts Receivable,73200000000.0,67729000000.0,52330000000.0,46605000000.0,70079000000.0,65160000000.0,60933000000.0,61478000000.0
